CLINIC,ADDRESS,PHONE,EMAIL
Dent-in s.r.o.,Příčná 179 415 01 TepliceTel.:  +420 474 531 031,  +420 474 531 031,
Dentina MB s.r.o,"Na Radouči 1400 293 01 Mladá BoleslavTel.:  326210205, 777533154","  326210205, 777533154",
Dentina MB s.r.o.,Havlíčkova 694/10 293 01 Mladá Boleslav IITel.:  326734987,  326734987,
DENTINA PRIVÁTNÍ ZUBNÍ ORDINACE s.r.o.,Košinova 3105/18a 612 00 BrnoTel.:  731185688,  731185688,
Dentinarium s.r.o.,Dr. Martínka 1491/7 700 30 Ostrava - Hrabůvka,,
Dentinela s.r.o.,Bezručova 1173/2 785 01 Šternberk,,
DENTINI s.r.o.,Sportovní 244 696 85 Moravský PísekTel.:  777 762 682,  777 762 682,
DENTINO s.r.o.,"Puškinova 409/63 682 01 VyškovTel.:  532233320, 773003573E-mail:  dentino.vyskov@gmail.com","  532233320, 773003573",  dentino.vyskov@gmail.com
DENTINO s.r.o.,Cejl 40/107 602 00 Brno,,
DENTINUM s.r.o.,Polská 91 541 01 TrutnovTel.:  499815120,  499815120,
DENTINUM s.r.o.,Polská 367 541 01 Trutnov,,
DENTINUS s.r.o.,Oplanská 2665 190 16 Praha 9Tel.:  775263322,  775263322,
Dention - zubní centrum s.r.o.,T. G. Masaryka 602 738 01 Frýdek-MístekTel.:  602606063,  602606063,
Dentiq zubní ordinace s.r.o.,"Bratří Čapků 384/14 602 00 BrnoTel.:  543234539, 608745675","  543234539, 608745675",
Dentispot s.r.o.,Na Březince 930/6 150 00 Praha 5,,
Dentissimo s.r.o.,Za Valem 4 148 00 Praha 4Tel.:  777287082,  777287082,
"Dentissimo, s.r.o.",Za Valem 1497/4 148 00 Praha 4Tel.:  777287082,  777287082,
DENTIST 3D s.r.o.,Palackého 18 586 01 JihlavaTel.:  721970188,  721970188,
DENTIST 3D s.r.o.,Masarykova 885 396 01 Humpolec,,
Dentist Care s.r.o.,Komarovova 402/6 700 30 Ostrava,,
Dentist CL s.r.o.,Bendlova 2236 470 01 Česká Lípa,,
Dentist Lázně Bohdaneč s.r.o.,Na Lužci 718 533 41 Lázně BohdanečTel.:  466921088,  466921088,
Dentist MC s.r.o.,Masarykova 885 396 01 HumpolecTel.:  563383580,  563383580,
Dentista Zlín s.r.o.,Antonínova 4465 760 01 Zlín,,
Dentistar s.r.o.,Nerudova 1140 684 01 Slavkov u Brna,,
Dentistar s.r.o.,B. Němcové 228 684 01 Slavkov u Brna,,
DENTISTIKA s.r.o.,"Dačického 1009/9 140 00 Praha 4Tel.:  261213807, 723783522E-mail:  dentistika@email.cz","  261213807, 723783522",  dentistika@email.cz
Dentistka s.r.o.,Na Jámě 348/1 692 01 Mikulov,,
Dentistree.cz s.r.o.,třída Edvarda Beneše 1549/34 500 12 Hradec Králové,,
Dentistry s.r.o.,Tigridova 1501/6 140 00 Praha 4,,
Dentiva s.r.o.,Durďákova 331/11 613 00 Brno,,
DentJH s.r.o.,"Žukovského 887 161 00 Praha 6Tel.:  233312432, 733638398","  233312432, 733638398",
DENTKAM s. r. o.,Pod Školkou 511 254 01 Jílové u Prahy,,
Dentkomplex s.r.o.,"Ouvalova 390 274 01 SlanýTel.:  312520860, 608151979E-mail:  dentkomplexrecepce@gmail.com","  312520860, 608151979",  dentkomplexrecepce@gmail.com
Dentlabe s.r.o.,náměstí Svobody 274 280 02 Kolín V,,
DENTLAND s.r.o.,Böhmova 1982/5 155 05 Praha 5Tel.:  606625206E-mail:  dentland@seznam.cz,  606625206,  dentland@seznam.cz
DENTLIFE s.r.o.,Jarošova 1466/71 669 02 Znojmo,,
DentLive s.r.o.,třída E. Beneše 1549/34 500 12 Hradec KrálovéTel.:  495266300,  495266300,
DentLou s.r.o.,"Masarykovo náměstí 2667 530 02 Pardubice, Zelené PředměstíTel.:  466615743",  466615743,
DENTMAR s.r.o.,Komenského 358 471 54 CvikovTel.:  487751431,  487751431,
Dentmed s.r.o.,Štursova 904/14 779 00 Olomouc,,
"DENTMEDIC OSTRAVA, s.r.o.",Ruská 2887/101 703 00 Ostrava - VítkoviceTel.:  603864758,  603864758,
DentMode s.r.o.,Poděbradova 1959 544 01 Dvůr Králové nad LabemTel.:  491616464E-mail:  info@dentmode.cz,  491616464,  info@dentmode.cz
Dent-MUDr. Dvořák s.r.o.,Pařížská 1217/9 400 01 Ústí nad LabemTel.:  475210690,  475210690,
Dent-MUDr. Dvořáková s.r.o.,Masarykova 781/318b 400 01 Ústí nad LabemTel.:  472744343,  472744343,
Dentnap Kladno s.r.o.,Ke Stadionu 1930 272 01 KladnoTel.:  312247060,  312247060,
Dento IS s.r.o.,U Tří lvů 294/4 370 01 České BudějoviceTel.:  387720445,  387720445,
Dentology s.r.o.,Petra Fastra 260/2 251 01 Říčany,,
Dentology s.r.o.,Barákova 237/8 251 01 ŘíčanyTel.:  601186644,  601186644,
DENTOM s.r.o.,nám. Bohuslava Kašpara 450 334 42 ChlumčanyTel.:  377973144,  377973144,
DENTONIA s.r.o.,Na Chmelnicích 1691/67 323 00 Plzeň - Severní Předměstí,,
DENTOPTIMA s.r.o.,Masarykovo náměstí 276 295 01 Mnichovo HradištěTel.:  326772466,  326772466,
Dentosan s.r.o.,"Křižíkova 2697/70 612 00 BrnoTel.:  541633707, 541633708","  541633707, 541633708",
Dentosféra s.r.o.,Moravcova 259/9 767 01 Kroměříž,,
DENTOS-SDRUŽENÍ ZUBNÍCH LÉKAŘŮ,Kyjevská 8 160 00 Praha 6Tel.:  224313817,  224313817,
DENTplus s.r.o.,Jankovcova 1595/14 170 00 Praha 7Tel.:  773694472E-mail:  stomatologiekrizova@gmail.com,  773694472,  stomatologiekrizova@gmail.com
"DENTPoint, s.r.o.",Partyzánů 2174 688 01 Uherský BrodTel.:  572637907,  572637907,
DENTPRO Ostrava s.r.o.,Závodní 1061/107 700 30 OstravaTel.:  776309784E-mail:  recepce.vitaldent@seznam.cz,  776309784,  recepce.vitaldent@seznam.cz
DENTPRO s.r.o.,Ječná 550/1 120 00 Praha 2,,
DENTPRO s.r.o.,Pštrossova 1923/10 110 00 Praha 1Tel.:  420 724 511 547E-mail:  recepce@medical.erpet.cz,  420 724 511 547,  recepce@medical.erpet.cz
"DENTPRO s.r.o. - Na Příkopě 583/15, Praha 1",Na Příkopě 583/15 110 00 Praha 1Tel.:  221595000,  221595000,
DentProtect s.r.o.,Osvoboz. pol. věznů 3355 272 01 KladnoTel.:  608855160,  608855160,
DentProtect s.r.o.,K Nemocnici 2814 272 01 KladnoTel.:  608855160,  608855160,
Dentry s.r.o.,Senovážné náměstí 992/8 110 00 Praha 1,,
Dents zubní s.r.o.,Rotalova 754/83 613 00 BrnoTel.:  541243643,  541243643,
Dentsan s.r.o.,Žižkovo nám. 56 373 12 Borovany,,
dents-dentickulus s.r.o.,Husova třída 1168 504 01 Nový BydžovTel.:  495491701,  495491701,
"DentSmile, s.r.o.",Martinské nám. 149/3 674 01 TřebíčTel.:  568841188E-mail:  dr.krizan@dentsmile.cz,  568841188,  dr.krizan@dentsmile.cz
"DentTrmice, s.r.o.",Za Humny 650/1a 400 01 Trmice,,
denTu s.r.o.,Horská 634 541 01 TrutnovTel.:  608191099E-mail:  info@dentu.cz,  608191099,  info@dentu.cz
DENTUDO s.r.o.,Nemastova 1919 547 01 Náchod 1,,
Dent-UL s.r.o.,Pařížská 1217/9 400 01 Ústí nad LabemTel.:  475214555,  475214555,
Dentuli s.r.o.,28. října 919 277 11 NeratoviceTel.:  311213170,  311213170,
DentUM Kladno s.r.o.,Unhošťská 2533 272 01 KladnoTel.:  603736130,  603736130,
DentUP s.r.o.,Rotalova 754/83 614 00 Brno,,
DenTur s.r.o.,Hruboskalská 2299 511 01 Turnov,,
Dentvision s.r.o.,Soběslavská 2062/44 130 00 Praha 3,,
"DENTVITA, spol. s r.o.","Korunní 810/104, budova G 101 00 Praha 10Tel.:  272 730 730, 724 042 031E-mail:  info@dentvita.cz","  272 730 730, 724 042 031",  info@dentvita.cz
Denty s.r.o.,Potoční 1094 738 01 Frýdek-MístekTel.:  776 030 330,  776 030 330,
"DENVIA, s.r.o.",Čs. Armády 324/13 683 01 RousínovTel.:  606977123,  606977123,
"Depurate, s.r.o.",Nad Malým mýtem 1739/2a 147 00 Praha 4Tel.:  +420 774 890 909E-mail:  info@depurate.cz,  +420 774 890 909,  info@depurate.cz
Detaildent s.r.o.,Krkonošská 2001/ 16 120 00 Praha 2Tel.:  222714448,  222714448,
Dětská zubní společnost s.r.o.,Matice Školské 17 371 02 České Budějovice,,
Dětská zubní společnost s.r.o.,ZŠ Nerudova 9 371 02 České BudějoviceTel.:  038-32561,  038-32561,
Dětská zubní společnost s.r.o.,ZŠ Suché Vrbné 370 06 České Budějovice,,
Dětská zubní společnost s.r.o.,Matice školské 17 370 01 České BudějoviceTel.:  387 730 387,  387 730 387,
Dětská zubní společnost s.r.o.,Suché Vrbné 370 06 České Budějovice,,
Dětská zubní společnost s.r.o.,Matice školské 17 370 01 České BudějoviceTel.:  387730387,  387730387,
Dětská zubní společnost s.r.o.,Suché Vrbné 370 06 České Budějovice,,
Dětská zubní společnost s.r.o.,ZŠ Suché Vrbné 370 06 České BudějoviceTel.:  387204727,  387204727,
Dětská zubní společnost s.r.o.,Nerudova 9 371 02 České Budějovice,,
DEVIDENT s.r.o.,Štěchovická 1983/ 8 100 00 Praha 10Tel.:  776358787,  776358787,
DEVIDENT s.r.o.,Na Příkopech 103 261 01 PříbramTel.:  607682178,  607682178,
DEVIDENT s.r.o.,Vihohradská 3216/165 100 00 Praha 10,,
DH klinika s.r.o.,Pod Barvířkou 3348/11 150 00 Praha 5Tel.:  602 741 101,  602 741 101,
DI DENT s.r.o.,Zarámí 4432 760 01 Zlín,,
DI DENT s.r.o.,763 11 Lípa 302,,
DI DENT s.r.o.,Příkrá 441 760 01 Zlín,,
Dialdent s.r.o.,V Teničkách 640 686 01 Uherské Hradiště 1Tel.:  735 753 050E-mail:  dialdent.usmev@gmail.com,  735 753 050,  dialdent.usmev@gmail.com
Diamond Dental s.r.o.,Ječná 1231/31 621 01 BrnoTel.:  792779931E-mail:  mddr.kovacechova@gmail.com,  792779931,  mddr.kovacechova@gmail.com
Diamond Smile s.r.o.,náměstí Míru 467 273 01 Kamenné Žehrovice,,
"Diamond Smile s.r.o. - Slovenského národního povstání 467/40, Most",Slovenského národního povstání 467/40 434 01 Most,,
Dílna úsměvů s.r.o.,Národní 1010/9 110 00 Praha 1,,
Dimitris Dental s.r.o.,alej Svobody 1397/29a 323 00 Plzeň - Severní Předměstí,,
Diobe dental clinic s.r.o,"Orlí 780/36 602 00 BrnoTel.:  542211827,775550337E-mail:  info@diobe.cz","  542211827,775550337",  info@diobe.cz
Diviciacus s.r.o.,Terezie Brzkové 942/15 318 00 Skvrňany,,
Dizzydent s.r.o.,Polní 780/92 639 00 BrnoTel.:  775 986 912E-mail:  info@dizzydent.cz,  775 986 912,  info@dizzydent.cz
DJ DENT s.r.o.,"Terezie Brzkové 942/15 318 00 Plzeň, SkvrňanyTel.:  377380772",  377380772,
DK dental s.r.o.,Dukovany 269 Jaderná elektrárna 675 50 DukovanyTel.:  561 103 646E-mail:  info@dkdental.cz,  561 103 646,  info@dkdental.cz
DK KRÁL s.r.o.,Resslova 745/5 500 02 Hradec Králové,,
DKI s.r.o.,Vratislavova 62/11 128 00 Praha 2Tel.:  725394623E-mail:  recepce@stomatologickapece.cz,  725394623,  recepce@stomatologickapece.cz
DKI s.r.o.,Nad Ryšánkou 2103/7a 147 00 Praha 4Tel.:  727818099E-mail:  recepce2@stomatologickapece.cz,  727818099,  recepce2@stomatologickapece.cz
Dmytro Babeshko,Komenského 171/9 250 01 Brandýs nad Labem,,
Dobrý-dent s.r.o.,U hostivařského nádraží 1328/6 102 00 Praha 10,,
Dobříšská stomatologie s.r.o.,náměstí Komenského 411 263 01 DobříšTel.:  318521066,  318521066,
"doc. MUDr. Komárek Stanislav, CSc.",Gruzínská 482 503 41 Hradec Králové 7Tel.:  603155085,  603155085,
"doc. MUDr. Roubalíková Lenka, Ph.D.",Kamenomlýnská 2 603 00 BrnoTel.:  543321303/258,  543321303/258,
"doc. MUDr. Starosta Martin, Ph.D.","Nezvalova 1293/2A 779 00 OlomoucTel.:  585438217, 739200311","  585438217, 739200311",
Doctor Dent s.r.o.,Slezská 2526/113 130 00 Praha 3,,
Doctor Smile Group s.r.o.,U Hráze 144/6 100 00 Praha 10,,
Doctor Smile Group s.r.o.,Koněvova 1116/83 130 00 Praha 3,,
DOKTOR KLAIN MEDICAL s.r.o.,Moskevská 658/41 460 01 Liberec 1Tel.:  +420 778 003 303,  +420 778 003 303,
Doktor OLS s.r.o.,Branická 34 147 00 Praha 4 - BraníkTel.:  727857280,  727857280,
Doktor TKALYCH s.r.o.,Nedvězská 2229/14 100 00 Praha 10,,
Doktor TKALYCH s.r.o.,Sokolovská 810/304 190 00 Praha 9Tel.:  773 927 003,  773 927 003,
"Doktor TKALYCH, s.r.o. - Čechovská 57, Příbram",Čechovská 57 261 01 Příbram,,
DOKTOR ZOUBEK s.r.o.,Petřkovická 87/9a 725 28 Ostrava - Lhotka,,
DOL ORTO s.r.o.,Lovosická 440/40 190 00 Praha 9,,
Dolident s.r.o.,Ampérova 649 463 12 LiberecTel.:  733734794E-mail:  info@dolident.cz,  733734794,  info@dolident.cz
DomaDent s.r.o.,Václavská 239/12 603 00 Brno,,
Domident s.r.o.,Opletalova 15 537 01 ChrudimTel.:  733562376E-mail:  domidentchrudim@seznam.cz,  733562376,  domidentchrudim@seznam.cz
Domident s.r.o.,Václavská 1037 537 01 Chrudim,,
Dominident s.r.o.,Antonínova 4466 760 05 Zlín,,
Domov pro seniory Zahradní město,Sněženkova 8 100 00 Praha 10Tel.:  272 654 151,  272 654 151,
Dontia Care s.r.o.,"Melantrichova 504/5 110 00 Praha 1Tel.:  224235160, 777 982 876","  224235160, 777 982 876",
Dontic s.r.o.,Obránců míru 866 512 51 Lomnice nad Popelkou,,
Dostal dent s.r.o.,747 55 Litultovice č. 187Tel.:  553663206,  553663206,
Dostal privátní stomatologická praxe s.r.o.,Olomoucká 1304/31 785 01 Šternberk,,
DoulaDental s.r.o.,Okružní 2160 288 02 Nymburk,,
Dr. Dent stomatologické centrum s.r.o.,2. května 7134 760 01 ZlínTel.:  577011221,  577011221,
Dr. Jakubčák s.r.o.,Studánecká 427 382 73 Vyšší BrodTel.:  775588940,  775588940,
Dr. Justová s.r.o.,"Otýlie Beníškové 472/4 301 00 PlzeňTel.:  377235322,733606119","  377235322,733606119",
"Dr. Lipus, s.r.o.",Vedryně 739 739 94 VedryněTel.:  724193143E-mail:  recepce@drlipus.cz,  724193143,  recepce@drlipus.cz
dr. Rieglová Milena s.r.o.,Spálená 78/12 110 00 Praha 1,,
Dr. Sofronieski Saša,Karla IV. 36 793 05 Moravský BerounTel.:  554725317,  554725317,
Dr. Šedivá s.r.o.,Havlíčkova 20 266 01 Beroun,,
"Dr. Terk Ludwig - IMPLADENT CZ - U Imperiálu 1283/14, Karlovy Vary",U Imperiálu 1283/14 360 01 Karlovy VaryTel.:  602 157 343E-mail:  impladenta@email.cz,  602 157 343,  impladenta@email.cz
"Dr. Zoubek, s.r.o.",Jos. Jungmanna 1575 504 01 Nový Bydžov,,
DRIM Dent s.r.o.,Rumunská 1354/47 796 01 ProstějovTel.:  775306757,  775306757,
DS dent s.r.o.,Oblačná 450/1 460 05 Liberec,,
DS dental s.r.o.,Varšavská 1338/15 120 00 Praha 2,,
DS Magura s.r.o.,Skorkovského 2644/58 636 00 Brno,,
DS-Dentes s.r.o.,Obchodní 1508 686 01 Uherské HradištěTel.:  572540862,  572540862,
DT-clinic s.r.o.,Pražská 380 281 04 PlaňanyTel.:  776205097,  776205097,
Dualdent s.r.o.,Burešín 500 687 23 Ostrožská LhotaTel.:  739790149,  739790149,
Dualdent s.r.o.,Masarykovo nám. 157/8 686 01 Uherské HradištěTel.:  572540884,  572540884,
Dubedent s.r.o.,Starodubečská 99/6 107 00 Praha 10Tel.:  272701894,  272701894,
Dům zdraví s.r.o.,Poříčí 11 594 01 Velké Meziříčí,,
Dům zdraví spol. s r.o.,Ostrůvek 300 594 01 Velké Meziříčí,,
Dům zdraví spol. s r.o.,594 61 Bory,,
"Dům zdraví, s.r.o.",Poříčí 11 594 01 Velké Meziříčí,,
Dům zubní péče s.r.o.,Nad Olšinami 672/4 100 00 Praha 10,,
Dům zubní péče s.r.o.,Okrouhlická 568/15 182 00 Praha 8Tel.:  216216966,  216216966,
"DUOSTOMA, s.r.o.",Moskevská 1843 272 04 KladnoTel.:  776 895 621,  776 895 621,
DV Dent spol. s r.o.,Chovatelů 336 413 01 VědomiceTel.:  416838898,  416838898,
Dvordent medical s.r.o.,Nádražní 391/50 783 65 Mariánské Údolí - HlubočkyTel.:  585164800E-mail:  dvordent@gmail.com,  585164800,  dvordent@gmail.com
"Dvořáková Stomatologie, s.r.o.",K Nádraží 317 517 43 Potštejn,,
Dyodont s.r.o.,Komenského 182 280 02 Kolín IVTel.:  720 625 999E-mail:  info@dyodont.cz,  720 625 999,  info@dyodont.cz
Eastern retro s.r.o.,Senovážné náměstí 980/22 110 00 Praha 1Tel.:  732222017E-mail:  ap.dent@email.cz,  732222017,  ap.dent@email.cz
EASYDENT s.r.o.,Krásova 957/24 130 00 Praha 3Tel.:  737205502E-mail:  info@easydent.cz,  737205502,  info@easydent.cz
EASYDENT s.r.o.,Opatovská 1763/11 149 00 Praha 4Tel.:  732466211E-mail:  info@easydent.cz,  732466211,  info@easydent.cz
EB Dent s.r.o.,Jar. Ježka 384/65 370 06 České Budějovice,,
"ECDENTIST, s.r.o.",Kolbenova 616/34 190 00 Praha 9Tel.:  283 892 136,  283 892 136,
ECS Praha s.r.o.,Jankovcova 788/16 170 00 Praha 7Tel.:  777456789,  777456789,
"Eden stomatologie s.r.o. - Dlouhá 1339, Uherské Hradiště",Dlouhá 1339 686 01 Uherské HradištěTel.:  724 388 355,  724 388 355,
EDENT spol. s r.o.,"Kvítková 124 760 01 ZlínTel.:  577004332, 777195424","  577004332, 777195424",
"EDENT, spol. s.r.o.",Nerudova 187 760 01 Zlín - Prštné,,
Egradent s.r.o.,Vrchlického 684/8 350 02 ChebTel.:  354431010,  354431010,
ECHTDENT s.r.o.,M. R. Štefanika 967/3 787 01 ŠumperkTel.:  583311339,  583311339,
Ekaterina Vyskočilová,Ovenecká 78/33 170 00 Praha 7Tel.:  775365761,  775365761,
EKDENS s.r.o.,Palackého 1770 739 11 Frýdlant nad OstravicíTel.:  731574220,  731574220,
El-Diente stomatologie s.r.o.,Majerského 2036/17 149 00 Praha 4Tel.:  736246710E-mail:  zuzana.hovorkova@gmail.cz,  736246710,  zuzana.hovorkova@gmail.cz
Elezović Branislava,Lovosická 440/40 190 00 Praha 9Tel.:  775024564E-mail:  bbranislava@seznam.cz,  775024564,  bbranislava@seznam.cz
ELIDENTA s.r.o.,Krškova 807/21 152 00 Praha 5Tel.:  777 328 801,  777 328 801,
ELIDENTA s.r.o.,"Radlická 1170/61 150 00 Praha 5Tel.:  211221353, 777328801","  211221353, 777328801",
ELITDENT s.r.o.,Na Výšině 2672/4 251 01 Říčany,,
EL-MA DENT s.r.o.,Havlíčkova 942 752 01 Kojetín,,
ELMEDENT s.r.o.,Příkrá 441 760 01 ZlínTel.:  777748171,  777748171,
ELMEDENT s.r.o.,Zarámí 4432 763 11 ZlínTel.:  777748171,  777748171,
ELMEDENT s.r.o.,763 11 Lípa 302Tel.:  577142479,  577142479,
ELVO Čáslav spol. s r.o.,Masarykova 885 396 01 Humpolec,,
ELVO Čáslav spol. s.r.o.,Zbraslavice č.p.. 329 285 21 Zbraslavice,,
ELZET DENTAL s.r.o.,Heydukova 508/11 370 01 České BudějoviceTel.:  386460803E-mail:  elzet.dental@seznam.cz,  386460803,  elzet.dental@seznam.cz
EM - dent s.r.o.,Husovo náměstí 555 256 01 Benešov,,
EMIDENTAL s.r.o.,Nový Malín 504 788 03 Nový MalínTel.:  731501329,  731501329,
EMIDENTAL s.r.o.,Pod Vodárnou 1 787 01 Šumperk,,
Emkej - dent s.r.o.,Nádražní 156/12 370 01 České BudějoviceTel.:  972544321,  972544321,
Emkej - dent s.r.o.,Chelčického 125/4 370 01 České Budějovice,,
EMMA dent s.r.o.,tř. Svobody 1067/32 779 00 OlomoucTel.:  585506300,  585506300,
Enamelic s.r.o.,Dašická 1804 530 03 PardubiceTel.:  466654180,  466654180,
Endent s.r.o.,Dr. E. Beneše 41/11 769 01 Holešov,,
"Endivia dent, s.r.o.","Krajinská 251/16 370 01 České BudějoviceTel.:  387204801, 725329882E-mail:  info@iadent.com","  387204801, 725329882",  info@iadent.com
Enicare s.r.o.,Klánovická 487/2a 198 00 Praha 9,,
ENIDENT s.r.o.,Petra Fastra 260 251 01 Říčany u Prahy,,
Enta Dent s.r.o.,Tomáše ze Štítného 1172/2 400 03 Střekov - Ústí nad LabemTel.:  775 773 005,  775 773 005,
ENTERPRISE s.r.o.,Mendlovo náměstí 17 603 00 Brno,,
EOS dent s.r.o.,Schwaigrova 327 377 01 Jindřichův HradecTel.:  384391774E-mail:  zubni.slaninova@seznam.cz,  384391774,  zubni.slaninova@seznam.cz
ERB spol. s r.o.,"Kafkova 16 160 00 Praha 6Tel.:  233931319, 602595134","  233931319, 602595134",
ERDent s.r.o.,Oderská 333/5 196 00 Praha 9Tel.:  722063131,  722063131,
ES - DENTALTEAM s.r.o.,Kpt. Vosky 684 284 01 Kutná HoraTel.:  721 110 711,  721 110 711,
ES DENT s.r.o.,Syllabova 450 257 51 Bystřice u BenešovaTel.:  317793487,  317793487,
"ESKOLA, s.r.o.",Vratislavova 60/9 128 00 Praha 2,,
ESOdent s.r.o.,"Malá 1167/22 470 01 Česká LípaTel.:  487834603,487853613E-mail:  krausji@seznam.cz","  487834603,487853613",  krausji@seznam.cz
ESTA DENTAL s.r.o.,Táborská 321/59 140 00 Praha 4,,
"EsteDent, s.r.o",Horníkova 2485/34 628 00 BrnoTel.:  544134204,  544134204,
"Estetická stomatologie MUDr. Hradil, s.r.o.","Štefánikova 2477 760 01 ZlínTel.:  774 225 680, 774 225 780","  774 225 680, 774 225 780",
Estetik Smile s. r. o.,tř. Václava Klementa 869 293 01 Mladá Boleslav,,
"ESTETIKA DENTAL cz, s.r.o.",Vinohradská 2165/48 120 00 Praha 2Tel.:  774374610E-mail:  estetikadental@email.cz,  774374610,  estetikadental@email.cz
EstetikaDent s.r.o.,Jižní 1903 470 01 Česká LípaTel.:  774001950 SMSE-mail:  I_zaruba@volny.cz,  774001950 SMS,  I_zaruba@volny.cz
ESTETIKDENT s.r.o.,Dr. Tůmy 1607/4 370 01 České Budějovice,,
ESTETIKDENT s.r.o.,"U Tří lvů 297/10 370 01 České BudějoviceTel.:  387318635, 383 136 221","  387318635, 383 136 221",
ESTHES spol. s r.o.,Sokolská 187/33 674 01 TřebíčTel.:  568840820,  568840820,
ESTHESIA s.r.o.,"Opletalova 1013/59 110 00 Praha 1Tel.:  284680530, 775025644E-mail:  info@esthesia.cz","  284680530, 775025644",  info@esthesia.cz
Esthesion s.r.o.,Jugoslávských partyzánů 1089/15 160 00 Praha 6Tel.:  770134567,  770134567,
ESTHETIC DENT CENTER s.r.o.,Viléma Závady 3679 738 01 Frýdek-Místek,,
Esthetic Dentistry s.r.o.,Cedrová 1462 252 42 Jesenice,,
EsthetX Dental Clinic s.r.o.,Václavské náměstí 794/38 110 00 Praha 1,,
Eternus Dent s.r.o.,"Dělnická 213/12 170 00 Praha 7E-mail:  jakub.vasa@dcrosmarin.cz, jan.kubecek@dcrosmarin.cz",,"  jakub.vasa@dcrosmarin.cz, jan.kubecek@dcrosmarin.cz"
eTerra s.r.o.,"Pražská 2394/1b 678 01 BlanskoTel.:  731144155, 734177800","  731144155, 734177800",
EUC Klinika a.s.,Nádražní 268 535 01 PřeloučTel.:  466672161,  466672161,
EUC Klinika Kladno s.r.o.,Huťská 211 272 01 KladnoTel.:  312619111,  312619111,
EUC Klinika Ostrava a.s.,Opavská 962/39 70800 Ostrava,,
EUC Klinika Plzeň s.r.o.,Denisovo nábř. 1000/4 301 00 PlzeňTel.:  378218111,  378218111,
EUC Klinika Praha a.s.,Šustova 1930/2 148 00 Praha 4,,
EUC Klinika Praha a.s.,Kartouzská 204/6 150 00 Praha 5,,
EUC Premium s.r.o.,Žižkova 146 280 02 Kolín IIITel.:  321756678,  321756678,
EUDENT s.r.o.,Budínova 67/2 180 00 Praha 8Tel.:  266082446,  266082446,
European Dental Health s.r.o.,V Kopečku 81/1 500 03 Hradec KrálovéTel.:  495537100E-mail:  info@iedh.cz,  495537100,  info@iedh.cz
"EUROSTOM, s.r.o.","Úzká 488/8 602 00 BrnoTel.:  543333444, 775743303E-mail:  info@eurostom.cz","  543333444, 775743303",  info@eurostom.cz
EvaDent EC s.r.o.,Na Zavadilce 425 413 01 Vědomice,,
EVE Dentes s.r.o.,Dr. Martínka 1491/7 700 30 Ostrava,,
EvedalDent s.r.o.,Poříčí 1256/11 594 01 Velké MeziříčíTel.:  728638632E-mail:  evedaldent@gmail.com,  728638632,  evedaldent@gmail.com
Evidental s.r.o.,Gorkého 2/12 602 00 BrnoTel.:  541214913,  541214913,
Excellent Dent s.r.o.,U Pošty 14 625 00 BrnoTel.:  721024950,  721024950,
"Explore Productions, s.r.o.",Pštrossova 1923/10 110 00 Praha 1,,
EXTRADENT PLUS s.r.o.,Do Zahrádek 186/17 155 21 Praha 5,,
Facevision s.r.o.,Soběslavská 2062/44 130 00 Praha 3,,
FAdent s.r.o.,"Stroupežnického 522/18 150 00 Praha 5 - SmíchovTel.:  257314738, 222522295 1, 774626262","  257314738, 222522295 1, 774626262",
Fair dent s.r.o.,Dr. Vančury 401 738 01 Frýdek-Místek,,
"FAJNE ZUBY, s.r.o.","Vráclavská 1281 739 34 Šenov u OstravyTel.:  596887404, 725501399","  596887404, 725501399",
Fakultní nemocnice Brno,Jihlavská 20 625 00 BrnoTel.:  532231111,  532231111,
Fakultní nemocnice Hradec Králové,Sokolská 581 500 05 Hradec KrálovéTel.:  495832712,  495832712,
Fakultní nemocnice Hradec Králové,Sokolská 581 500 05 Hradec KrálovéTel.:  495833935,  495833935,
Fakultní nemocnice Hradec Králové,Sokolská 581 500 05 Hradec KrálovéTel.:  495832199,  495832199,
Fakultní nemocnice Hradec Králové,Sokolská 581 500 05 Hradec KrálovéTel.:  495832872,  495832872,
Fakultní nemocnice Hradec Králové,Sokolská 581 500 05 Hradec KrálovéTel.:  495832504,  495832504,
Fakultní nemocnice Hradec Králové,Sokolská 581 500 05 Hradec KrálovéTel.:  495832562,  495832562,
Fakultní nemocnice Hradec Králové,"Sokolská 581 500 05 Hradec KrálovéTel.:  495832634,495832335","  495832634,495832335",
Fakultní nemocnice Hradec Králové,1. Sokolská 581 500 05 Hradec Králové,,
Fakultní nemocnice Hradec Králové,Hradecká 1132 500 05 Hradec KrálovéTel.:  495833347,  495833347,
Fakultní nemocnice Hradec Králové,Sokolská 581 500 05 Hradec KrálovéTel.:  495831111,  495831111,
Fakultní nemocnice Motol,V Úvalu 84/1 150 06 Praha 5Tel.:  224431111,  224431111,
Fakultní nemocnice Olomouc Klinika zubního lékařství,Palackého 12 772 00 Olomouc 2Tel.:  585859223,  585859223,
"Fakultní nemocnice OlomoucKlinika ústní, čelistní a obličejové chirurgie",I. P. Pavlova 185/6 779 00 OlomoucTel.:  588444552E-mail:  ucoch@fnol.cz,  588444552,  ucoch@fnol.cz
Fakultní nemocnice Ostrava,17. listopadu 1790 708 52 OstravaTel.:  597371111E-mail:  fnspo@fnspo.cz,  597371111,  fnspo@fnspo.cz
